id,element,type,outboundDegree, inboundDegree
635,Search Event Homepage,boundary,1,4
636,Search Result Page,boundary,1,3
637,Show Empty Result Page,boundary,1,2
638,Valid Input Text,control,1,2
639,Actor,actor,4,0
640,Event Collection,entity,1,1
641,Photos in the event,entity,2,1
642,Search Event,boundary,1,3
643,Search Result Page,boundary,1,3
644,Search(back-end),control,1,2
645,Select an event,control,1,1
646,Upload finished,control,1,1
647,can't access server,control,2,0
648,confirm,boundary,1,3
649,confirm upload,control,1,1
650,enter search item and search,control,1,2
651,failed to upload,control,1,1
652,prepare resullt,control,1,1
653,result,boundary,0,2
654,search & upload,control,2,0
655,upload choice,boundary,0,3
656,Actor,actor,1,0
657,Handle Password Error,control,1,1
658,Set Password Screen,boundary,1,3
659,Validates non-block password,control,1,1
660,Actor,actor,3,0
661,Upload,control,1,1
662,camera,entity,2,1
663,can't access camera,control,1,1
664,my photo screen,boundary,1,3
665,prepare resullt,control,1,2
666,take the photo successfully,control,1,1
667,upload choice,boundary,0,3
668,view photo,boundary,2,3
669,Actor,actor,3,0
670,Upload finished,control,1,1
671,camera,entity,2,1
672,current location,boundary,1,3
673,failed to get current location,control,1,1
674,failed to upload,control,1,1
675,get location successfully,control,1,1
676,my upload,entity,2,1
677,upload,control,1,1
678,upload choice,boundary,1,3
679,upload choice,boundary,0,4
680,upload to current location,control,1,1
681,Actor,actor,4,0
682,camera,entity,1,1
683,can't access server,control,1,1
684,confirm,boundary,1,3
685,confirm upload,control,1,1
686,display my events,control,0,0
687,display my events,control,2,1
688,failed to upload,control,1,1
689,my event,entity,2,1
690,my events,boundary,1,3
691,photos in the event,entity,1,2
692,result,boundary,0,4
693,select an event,control,1,1
694,upload choice,boundary,1,3
695,upload finished,control,2,1
696,upload to my event,control,1,1
697,Actor,actor,1,0
698,Determine if user is event owner,control,2,1
699,Display Remaining Event Time,control,1,1
700,Event,entity,0,2
701,Event Screen,boundary,5,4
702,Handle photo retrieval error,control,1,1
703,Hide Edit Button,control,1,1
704,Navigate to Photo Selected Screen,control,0,1
705,Photo Collection,entity,0,2
706,Retrieve Photos for Event,control,2,1
707,Actor,actor,4,0
708,Can't access local photos,control,1,1
709,camera roll,boundary,1,3
710,choose a photo,control,1,1
711,get photos successfully,control,1,1
712,local photos,entity,2,1
713,my photos screen,boundary,1,2
714,process request,control,1,1
715,upload,control,1,1
716,upload choice,boundary,0,3
717,view photo,boundary,1,3
718,Actor1,actor,2,0
719,Actor2,actor,1,0
720,b1,boundary,1,3
721,b2,boundary,1,4
722,c1,control,2,1
723,c2,control,1,2
724,c3,control,1,0
725,e1,entity,1,1
726,e2,entity,2,2
727,e3,entity,1,0
728,Actor1,actor,1,0
729,Actor2,actor,1,0
730,Object1,boundary,2,1
731,Object2,control,1,1
732,b1,boundary,1,2
733,c1,control,1,2
734,e1,entity,0,1
735,Actor1,actor,1,0
736,Actor2,actor,1,0
737,Object1,boundary,2,1
738,Object2,control,1,1
739,b1,boundary,1,2
740,c1,control,1,2
741,e1,entity,0,1
742,Business Parter,actor,4,0
743,Buy Subscription Comfirmation Page,boundary,1,2
744,Buy Subscription Page(1),boundary,1,2
745,Buy Subscription Page(1),boundary,1,1
746,Buy Success Page,boundary,1,2
747,Display Buy My Subscription Success Page,control,1,1
748,Display Home Page(Designed by other part),control,0,1
749,Display Subscription Comfirmation Page,control,1,1
750,Display Subscription Page(2),control,1,1
751,Marked as Subscirpted,control,1,1
752,Subscription,entity,1,1
753,Business Partner,actor,3,0
754,Cancel Subscription Comfirmation Page,boundary,2,2
755,Cancel Subscription Page,boundary,1,1
756,Cancel Subscription Success Page,boundary,1,2
757,Display Cancel Sub page,control,0,1
758,Display Comfirmation Page,control,1,1
759,Display Home Page,control,0,1
760,Display Success Page,control,1,1
761,Marked as Canceled,control,2,1
762,Subscription,entity,0,1
763,Business Partner,actor,1,0
764,Third Party Client,actor,1,0
765,Coupon,entity,0,2
766,Coupon Designer,boundary,5,1
767,Coupon Templates,entity,0,1
768,Edit,control,1,1
769,Error Message,boundary,0,1
770,Offers,entity,1,0
771,Retrieves,control,1,2
772,Save,control,1,1
773,Test,control,0,1
774,Upload Image,control,0,1
775,access,control,1,1
776,FTSR,actor,1,0
777,Edit Offer,control,1,1
778,Enter offer's new values,boundary,0,1
779,Invoke design coupon use case,boundary,0,1
780,Modify Offer,control,1,1
781,Modify offer page,boundary,3,1
782,Offer,entity,0,1
783,Offers Page,boundary,1,1
784,User,actor,2,0
785,Display Partner Login,control,1,0
786,Display error message,control,0,1
787,Enter username and password,control,1,1
788,Is a match found?,control,2,1
789,Partner Login,boundary,1,2
790,Partner Portal,boundary,0,2
791,Query database with username and password,control,1,1
792,System Database,entity,1,1
793,Add Server,actor,1,0
794,FTSR,actor,2,0
795,Auto publish reschedule,control,1,0
796,Check validate,control,2,1
797,Dispaly Error Msg,control,0,1
798,Display modify error,control,0,1
799,Display offer,control,2,1
800,Offers,entity,1,0
801,Publish offer,control,0,2
802,Retrieve offers,control,1,2
803,offer details,boundary,1,3
804,offers pages,boundary,1,1
805,FT,actor,3,0
806,Coupon Database,entity,0,2
807,Coupon Invalid,boundary,1,1
808,Coupon Page,boundary,2,1
809,Coupon Redeemed,boundary,1,1
810,Coupon Validator,control,1,2
811,Generate Test Coupon,control,1,1
812,Open Coupon Page,control,0,1
813,Partner's Mobile,entity,1,2
814,Redeem Coupon,control,1,1
815,Save coupon for later,control,1,1
816,Test Coupon,entity,1,0
817,User,actor,5,0
818,Cancel Button,boundary,0,2
819,Design Coupon screen,boundary,0,2
820,Display Image in Coupon Image,control,1,1
821,File Chooser Windows,control,2,1
822,Open Button,boundary,1,1
823,Select the Image file,boundary,0,2
824,Upload Image button,boundary,1,1
825,Actor1,actor,2,0
826,Actor2,actor,1,0
827,b1,boundary,1,3
828,b2,boundary,1,4
829,c1,control,2,1
830,c2,control,1,2
831,c3,control,1,0
832,e1,entity,1,1
833,e2,entity,2,2
834,e3,entity,1,0
835,Actor1,actor,1,0
836,Actor2,actor,1,0
837,Object1,boundary,2,1
838,Object2,control,1,1
839,b1,boundary,1,2
840,c1,control,1,2
841,e1,entity,0,1
842,Actor1,actor,1,0
843,Actor2,actor,1,0
844,Object1,boundary,2,1
845,Object2,control,1,1
846,b1,boundary,1,2
847,c1,control,1,2
848,e1,entity,0,1
849,Business Parter,actor,4,0
850,Buy Subscription Comfirmation Page,boundary,1,2
851,Buy Subscription Page(1),boundary,1,2
852,Buy Subscription Page(1),boundary,1,1
853,Buy Success Page,boundary,1,2
854,Display Buy My Subscription Success Page,control,1,1
855,Display Home Page(Designed by other part),control,0,1
856,Display Subscription Comfirmation Page,control,1,1
857,Display Subscription Page(2),control,1,1
858,Marked as Subscirpted,control,1,1
859,Subscription,entity,1,1
860,Business Partner,actor,3,0
861,Cancel Subscription Comfirmation Page,boundary,2,2
862,Cancel Subscription Page,boundary,1,1
863,Cancel Subscription Success Page,boundary,1,2
864,Display Cancel Sub page,control,0,1
865,Display Comfirmation Page,control,1,1
866,Display Home Page,control,0,1
867,Display Success Page,control,1,1
868,Marked as Canceled,control,2,1
869,Subscription,entity,0,1
870,Business Partner,actor,1,0
871,Third Party Client,actor,1,0
872,Coupon,entity,0,2
873,Coupon Designer,boundary,5,1
874,Coupon Templates,entity,0,1
875,Edit,control,1,1
876,Error Message,boundary,0,1
877,Offers,entity,1,0
878,Retrieves,control,1,2
879,Save,control,1,1
880,Test,control,0,1
881,Upload Image,control,0,1
882,access,control,1,1
883,FTSR,actor,1,0
884,Edit Offer,control,1,1
885,Enter offer's new values,boundary,0,1
886,Invoke design coupon use case,boundary,0,1
887,Modify Offer,control,1,1
888,Modify offer page,boundary,3,1
889,Offer,entity,0,1
