NUM,UC,UEUCW_EMP,UEUCW_ALY,UEXUCW_EMP,UEXUCW_ALY, Effort,Effort_ALY,CCSS_EMP,CCSS_ALY, EI_EMP,EI_ALY,EO_EMP,EO_ALY,EQ,EQ_ALY,FN,FN_ALY,DM, DM_ALY,INT,INT_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY
204,Save Picture to Device,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
205,Browse Event Pictures,undefined,15,undefined,9,undefined,0,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,3,undefined,3,undefined,0,undefined,0,undefined,3
206,Sort Pictures,undefined,15,undefined,6,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,2,undefined,2,undefined,0,undefined,0,undefined,2
207,Create Private Event,undefined,15,undefined,3,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,0,undefined,0,undefined,1
208,Delete Event,undefined,15,undefined,5,undefined,0,undefined,0,undefined,2,undefined,0,undefined,0,undefined,0,undefined,2,undefined,1,undefined,3,undefined,0,undefined,0,undefined,3
209,Search Events,undefined,15,undefined,4,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,2,undefined,0,undefined,0,undefined,2
210,Create Public Events,undefined,15,undefined,4,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,2,undefined,0,undefined,0,undefined,2
211,Browse Users,undefined,15,undefined,7,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,2,undefined,3,undefined,0,undefined,0,undefined,3
212,Suspend User - Confirm,undefined,15,undefined,7,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,2,undefined,3,undefined,0,undefined,0,undefined,3
213,Update Event,undefined,15,undefined,8,undefined,0,undefined,0,undefined,2,undefined,0,undefined,0,undefined,0,undefined,2,undefined,2,undefined,4,undefined,0,undefined,0,undefined,4
