name, startTime, endTime, size (kb),runTime(s), runTime, size(mb),0.975431508,,21348
f15a_ConstructionMeeting_MinutesApp_2019-9-18@1571435830475,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:07:36 GMT-0700 (Pacific Daylight Time),1072.207,358.028016,358028.016,1.072207,,,
F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement_2019-9-18@1571435830450,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:08:11 GMT-0700 (Pacific Daylight Time),1074.044,378.0663236,378066.3236,1.074044,,,
ssad_ioc3_s12b_t05_v3.4_2019-9-18@1571435830732,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:08:12 GMT-0700 (Pacific Daylight Time),1091.858,378.1492281,378149.2281,1.091858,,,
s15b_snap_valet_2019-9-18@1571435830596,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:08:12 GMT-0700 (Pacific Daylight Time),1111.984,378.3207547,378320.7547,1.111984,,,
S14b_E-LockBox_2019-9-18@1571435830567,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:08:50 GMT-0700 (Pacific Daylight Time),1161.957,400.4316752,400431.6752,1.161957,,,
S14b_Healthy_Kids_Zone_SurveyApp_2019-9-18@1571435830569,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:11:12 GMT-0700 (Pacific Daylight Time),1248.802,481.2046884,481204.6884,1.248802,,,
S14b_Lose4Good.org_Database_Driven_Socially_Connected_Website_2019-9-18@1571435830577,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:11:53 GMT-0700 (Pacific Daylight Time),1267.639,504.5460263,504546.0263,1.267639,,,
S15b_we_are_trojans_network_2019-9-18@1571435830616,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:11:53 GMT-0700 (Pacific Daylight Time),1267.331,504.7861635,504786.1635,1.267331,,,
S16b_flower_seeker_2019-9-18@1571435830625,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:11:53 GMT-0700 (Pacific Daylight Time),1276.085,504.8679245,504867.9245,1.276085,,,
Istartonmonday_com_2019-9-18@1571435830487,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:13:09 GMT-0700 (Pacific Daylight Time),1291.555,548.0720412,548072.0412,1.291555,,,
Los_Angeles_Child_Guidance_Clinic_Employment_Opportunities_Online_Application_System_2019-9-18@1571435830507,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:13:10 GMT-0700 (Pacific Daylight Time),1329.448,548.7770154,548777.0154,1.329448,,,
Los_Angeles_Child_Guidance_Clinic_Employment_Opportunities_Online_Application_System_2019-9-18@1571435830496,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:13:10 GMT-0700 (Pacific Daylight Time),1329.448,548.7941681,548794.1681,1.329448,,,
LEMA_FAMILY_ACCOUNTABILITY_SYSTEM_2019-9-18@1571435830489,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:14:43 GMT-0700 (Pacific Daylight Time),1382.042,602.301315,602301.315,1.382042,,,
S14b_JEP_Online_Platform_2019-9-18@1571435830571,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:14:43 GMT-0700 (Pacific Daylight Time),1390.893,602.2641509,602264.1509,1.390893,,,
Improving_Thai_CDC_2019-9-18@1571435830484,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:16:53 GMT-0700 (Pacific Daylight Time),1455.601,676.4413951,676441.3951,1.455601,,,
F13a_MedFRS_Device_Diagnostic_Software_2019-9-18@1571435830450,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:17:49 GMT-0700 (Pacific Daylight Time),1495.665,708.5786164,708578.6164,1.495665,,,
LEMA_Pilot_School_Integrated_Scheduling_System_2019-9-18@1571435830493,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:17:49 GMT-0700 (Pacific Daylight Time),1509.199,708.598056,708598.056,1.509199,,,
f14a_e_lock_box_2019-9-18@1571435830460,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:20:36 GMT-0700 (Pacific Daylight Time),1874.319,803.8227559,803822.7559,1.874319,,,
ssad_dcp_f15a_t01_v2.0_2019-9-18@1571435830672,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:20:36 GMT-0700 (Pacific Daylight Time),1875.629,803.8610635,803861.0635,1.875629,,,
,,,min:,,2640.365923,2.6s,,,
,,,max:,,803861.0635,13.39768439,,,
,,,avg:,,179928.4261,2.998807102,,,
,,,total:,,18712556.32,5.197932311,,,
