id,element,type,outboundDegree,inboundDegree,diagram,useCase,model
1260,User,actor,3,0,Delete gateway,Delete gateway,F14a_mobile_application_for_mobile_controlled_lighting
1261,Error message when updating switchs,control,1,1,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
1262,Error message of updating,boundary,0,2,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
1263,update switch status,control,2,1,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
1264,switch detail page,boundary,1,2,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
1265,Switch,entity,0,2,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
1266,update list of switch,control,2,1,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
1267,List of switches,boundary,1,1,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
1268,User,actor,3,0,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
1269,Display error message when adding to favorite,control,1,1,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1270,Error message when updating,boundary,0,2,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1271,Favoriate,entity,0,1,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1272,add switch to favoriate,control,2,1,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1273,list of switch,boundary,1,2,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1274,Switch,entity,0,1,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1275,query list of switchs,control,2,1,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1276,Add favorite screen,boundary,1,1,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1277,User,actor,3,0,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
1278,invalid input information,boundary,0,2,Create a new account,Create a new account,F14a_REFERsy
1279,account,entity,0,1,Create a new account,Create a new account,F14a_REFERsy
1280,user profile page,boundary,0,2,Create a new account,Create a new account,F14a_REFERsy
1281,save user account,control,2,1,Create a new account,Create a new account,F14a_REFERsy
1282,validate input information,control,2,1,Create a new account,Create a new account,F14a_REFERsy
1283,Account create page,boundary,1,1,Create a new account,Create a new account,F14a_REFERsy
1284,User,actor,3,0,Create a new account,Create a new account,F14a_REFERsy
1285,user profile and search page,boundary,0,2,Login,Login,F14a_REFERsy
1286,account,entity,0,2,Login,Login,F14a_REFERsy
1287,incorrect user information,boundary,0,3,Login,Login,F14a_REFERsy
1288,validate user information,control,4,1,Login,Login,F14a_REFERsy
1289,Login page,boundary,1,1,Login,Login,F14a_REFERsy
1290,User,actor,3,0,Login,Login,F14a_REFERsy
1291,save updated profile,control,1,1,Loginout,Loginout,F14a_REFERsy
1292,Profile Edit Page,boundary,1,2,Loginout,Loginout,F14a_REFERsy
1293,Profile,entity,0,2,Loginout,Loginout,F14a_REFERsy
1294,display edit profile page,control,3,1,Loginout,Loginout,F14a_REFERsy
1295,Edit profile button,boundary,1,1,Loginout,Loginout,F14a_REFERsy
1296,User,actor,4,0,Loginout,Loginout,F14a_REFERsy
1297,sign in error message,boundary,0,4,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1298,query linkedin,control,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1299,query google plus info,control,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1300,query facebook info,control,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1301,LinkedIn,actor,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1302,Google plus,actor,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1303,Facebook,actor,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1304,query linkedin,control,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1305,query google plus info,control,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1306,query facebook info,control,2,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1307,credential input page,boundary,3,2,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1308,display crendential input page,control,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1309,social media login buttons,boundary,1,1,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1310,User,actor,3,0,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
1311,Invalid input data,boundary,0,2,Update user profile,Update user profile,F14a_REFERsy
1312,validate input data,control,2,1,Update user profile,Update user profile,F14a_REFERsy
1313,save updated profile,control,1,1,Update user profile,Update user profile,F14a_REFERsy
1314,Profile Edit Page,boundary,1,2,Update user profile,Update user profile,F14a_REFERsy
1315,Profile,entity,0,2,Update user profile,Update user profile,F14a_REFERsy
1316,display edit profile page,control,3,1,Update user profile,Update user profile,F14a_REFERsy
1317,Edit profile button,boundary,1,1,Update user profile,Update user profile,F14a_REFERsy
1318,User,actor,4,0,Update user profile,Update user profile,F14a_REFERsy
1319,invalid input information,boundary,0,2,Search for jobs,Search for jobs,F14a_REFERsy
1320,Sort search results,control,1,1,Search for jobs,Search for jobs,F14a_REFERsy
1321,Indeed.com,actor,1,1,Search for jobs,Search for jobs,F14a_REFERsy
1322,Invalid input data,boundary,0,2,Search for jobs,Search for jobs,F14a_REFERsy
1323,validate input data,control,1,1,Search for jobs,Search for jobs,F14a_REFERsy
1324,verify input information,control,3,1,Search for jobs,Search for jobs,F14a_REFERsy
1325,Job list page,boundary,1,2,Search for jobs,Search for jobs,F14a_REFERsy
1326,Search by input keywords from Indeed.com,control,2,1,Search for jobs,Search for jobs,F14a_REFERsy
1327,Job search page,boundary,1,1,Search for jobs,Search for jobs,F14a_REFERsy
1328,User,actor,4,0,Search for jobs,Search for jobs,F14a_REFERsy
1329,search saved unsuccessfully error message,boundary,0,2,Save search results,Save search results,F14a_REFERsy
1330,search saved successfully message,boundary,1,2,Save search results,Save search results,F14a_REFERsy
1331,search result,entity,0,2,Save search results,Save search results,F14a_REFERsy
1332,save filters and criteria,control,3,1,Save search results,Save search results,F14a_REFERsy
1333,Save search button,boundary,1,1,Save search results,Save search results,F14a_REFERsy
1334,User,actor,4,0,Save search results,Save search results,F14a_REFERsy
1335,saved unsuccessfully message,boundary,0,2,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
1336,saved successfully message,boundary,0,2,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
1337,Favorite Jobs,entity,0,1,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
1338,Save favorite jobs,control,4,1,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
1339,Save Favorite Job Button,boundary,1,1,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
1340,User,actor,4,0,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
1341,No fried found message,boundary,0,2,Send a referral request email,Send a referral request email,F14a_REFERsy
1342,Email Protocol,actor,0,1,Send a referral request email,Send a referral request email,F14a_REFERsy
1343,send email message,control,1,1,Send a referral request email,Send a referral request email,F14a_REFERsy
1344,display message edit page,control,1,1,Send a referral request email,Send a referral request email,F14a_REFERsy
1345,message edit page,boundary,1,2,Send a referral request email,Send a referral request email,F14a_REFERsy
1346,Friend selection page,boundary,1,2,Send a referral request email,Send a referral request email,F14a_REFERsy
1347,Friends,entity,0,1,Send a referral request email,Send a referral request email,F14a_REFERsy
1348,display friends by organization,control,3,1,Send a referral request email,Send a referral request email,F14a_REFERsy
1349,Request Referral Button,boundary,1,1,Send a referral request email,Send a referral request email,F14a_REFERsy
1350,User,actor,4,0,Send a referral request email,Send a referral request email,F14a_REFERsy
1351,invalid email address message,boundary,0,2,Email subscription,Email subscription,F14a_REFERsy
1352,account,entity,0,1,Email subscription,Email subscription,F14a_REFERsy
1353,save preferences for subscription,control,3,1,Email subscription,Email subscription,F14a_REFERsy
1354,subscribe for notification button,boundary,1,1,Email subscription,Email subscription,F14a_REFERsy
1355,User,actor,3,0,Email subscription,Email subscription,F14a_REFERsy
1356,display error message,control,1,1,Create Account,Create Account,s17_tikiman_go
1357,check if account name is unique,control,1,1,Create Account,Create Account,s17_tikiman_go
1358,check if passwords match,control,0,1,Create Account,Create Account,s17_tikiman_go
1359,check password format,control,0,1,Create Account,Create Account,s17_tikiman_go
1360,Create Account,control,3,1,Create Account,Create Account,s17_tikiman_go
1361,user,actor,1,0,Create Account,Create Account,s17_tikiman_go
1362,Specify Credentials,control,4,1,Create Account,Create Account,s17_tikiman_go
1363,Account Creation Page,boundary,1,2,Create Account,Create Account,s17_tikiman_go
1364,user,actor,1,0,Create Account Sequence,Create Account,s17_tikiman_go
1365,Account Creation Page,boundary,1,2,Create Account Sequence,Create Account,s17_tikiman_go
1366,Avatar Library,entity,0,0,Choose Avatar,Choose Avatar,s17_tikiman_go
1367,Avatar Selection Page,boundary,0,0,Choose Avatar,Choose Avatar,s17_tikiman_go
1368,display weapons bar,control,1,1,Choose Weapon Robustness,Choose Weapon,s17_tikiman_go
1369,display greyed out weapon icon,control,1,1,Choose Weapon Robustness,Choose Weapon,s17_tikiman_go
1370,display weapon icon,control,1,1,Choose Weapon Robustness,Choose Weapon,s17_tikiman_go
1371,weapon available?,control,3,1,Choose Weapon Robustness,Choose Weapon,s17_tikiman_go
1372,Weapons Bar,boundary,1,2,Choose Weapon Robustness,Choose Weapon,s17_tikiman_go
1373,Weapon inventory,entity,0,1,Choose Weapon Robustness,Choose Weapon,s17_tikiman_go
1374,display error message,control,1,1,Create Account,Create Account,s17_tikiman_go
1375,check if account name is unique,control,1,1,Create Account,Create Account,s17_tikiman_go
1376,check if passwords match,control,0,1,Create Account,Create Account,s17_tikiman_go
1377,check password format,control,0,1,Create Account,Create Account,s17_tikiman_go
1378,Create Account,control,3,1,Create Account,Create Account,s17_tikiman_go
1379,user,actor,1,0,Create Account,Create Account,s17_tikiman_go
1380,Specify Credentials,control,4,1,Create Account,Create Account,s17_tikiman_go
1381,Account Creation Page,boundary,1,2,Create Account,Create Account,s17_tikiman_go
1382,DIsplay error ,control,1,1,Login,Login,s17_tikiman_go
1383,Check Password,control,2,1,Login,Login,s17_tikiman_go
1384,Enter Username and Password,control,2,1,Login,Login,s17_tikiman_go
1385,Login Page,boundary,1,2,Login,Login,s17_tikiman_go
1386,User,actor,1,0,Login,Login,s17_tikiman_go
1387,Check if in Hawaii or not,control,1,2,Render Intial Mode,Render Intial Mode,s17_tikiman_go
1388,Not In Hawaii Mode,boundary,1,1,Render Intial Mode,Render Intial Mode,s17_tikiman_go
1389,Get Location,control,0,2,Render Intial Mode,Render Intial Mode,s17_tikiman_go
1390,Location,entity,1,0,Render Intial Mode,Render Intial Mode,s17_tikiman_go
1391,In Hawaii Mode,boundary,1,1,Render Intial Mode,Render Intial Mode,s17_tikiman_go
1392,User,actor,2,0,Render Intial Mode,Render Intial Mode,s17_tikiman_go
1393,Render Avatar,control,0,1,Choose Avatar,Choose Avatar,s17_tikiman_go
1394,Select Avatar,control,2,1,Choose Avatar,Choose Avatar,s17_tikiman_go
1395,Avatars,entity,0,1,Choose Avatar,Choose Avatar,s17_tikiman_go
1396,Avatar's Page,boundary,1,1,Choose Avatar,Choose Avatar,s17_tikiman_go
1397,User,actor,1,0,Choose Avatar,Choose Avatar,s17_tikiman_go
1398,Update Database,control,0,1,Get Location,Play Ar mode,s17_tikiman_go
1399,Fetch Lat Lon,control,2,1,Get Location,Play Ar mode,s17_tikiman_go
1400,Location,entity,0,1,Get Location,Play Ar mode,s17_tikiman_go
1401,GPS,boundary,1,1,Get Location,Play Ar mode,s17_tikiman_go
1402,User,actor,1,0,Get Location,Play Ar mode,s17_tikiman_go
1403,Not in Hawaii Mode,boundary,0,2,Render Mode,Determine AR/ VR mode,s17_tikiman_go
1404,AR mode,boundary,0,2,Render Mode,Determine AR/ VR mode,s17_tikiman_go
1405,Render Mode,control,0,1,Render Mode,Determine AR/ VR mode,s17_tikiman_go
1406,Check If In hawaii,control,4,0,Render Mode,Determine AR/ VR mode,s17_tikiman_go
1407,Location,entity,0,1,Render Mode,Determine AR/ VR mode,s17_tikiman_go
1408,User,actor,2,0,Render Mode,Determine AR/ VR mode,s17_tikiman_go
1409,Check if the location is inside a geofence,boundary,1,2,GeoFence,Navigate in AR Mode,s17_tikiman_go
1410,Get Location,control,2,1,GeoFence,Navigate in AR Mode,s17_tikiman_go
1411,Map,boundary,2,1,GeoFence,Navigate in AR Mode,s17_tikiman_go
1412,Places,entity,0,1,GeoFence,Navigate in AR Mode,s17_tikiman_go
1413,Location,entity,0,1,GeoFence,Navigate in AR Mode,s17_tikiman_go
1414,User,actor,1,0,GeoFence,Navigate in AR Mode,s17_tikiman_go
1415,Check Location,control,2,0,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book,s17_tikiman_go
1416,Render the e-cook link,control,0,3,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book,s17_tikiman_go
1417,Location,entity,0,1,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book,s17_tikiman_go
1418,E-book,entity,1,0,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book,s17_tikiman_go
1419,Doug's E-book,boundary,1,1,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book,s17_tikiman_go
1420,User,actor,1,0,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book,s17_tikiman_go
1421,Render Background of the location,control,0,4,Render Battle Scene,Render Battle Scene,s17_tikiman_go
1422,Render Army around 360,control,3,0,Render Battle Scene,Render Battle Scene,s17_tikiman_go
1423,Check Location
,control,2,0,Render Battle Scene,Render Battle Scene,s17_tikiman_go
1424,Army,entity,0,1,Render Battle Scene,Render Battle Scene,s17_tikiman_go
1425,Location,entity,0,1,Render Battle Scene,Render Battle Scene,s17_tikiman_go
1426,Battle Scene,boundary,1,1,Render Battle Scene,Render Battle Scene,s17_tikiman_go
1427,User,actor,1,0,Render Battle Scene,Render Battle Scene,s17_tikiman_go
1428,Check Weapon Inventory,control,0,1,Choose Weapon,Choose Weapon,s17_tikiman_go
1429,Select Weapon available,control,2,1,Choose Weapon,Choose Weapon,s17_tikiman_go
1430,Weapons Bar,boundary,1,1,Choose Weapon,Choose Weapon,s17_tikiman_go
1431,Weapons,entity,0,1,Choose Weapon,Choose Weapon,s17_tikiman_go
1432,User,actor,1,0,Choose Weapon,Choose Weapon,s17_tikiman_go
1433,Show in-App purchases,control,0,1,Use Weapon,Use Weapon,s17_tikiman_go
1434,Reduce Weapon Count,control,0,1,Use Weapon,Use Weapon,s17_tikiman_go
1435,Flick Weapon,control,3,1,Use Weapon,Use Weapon,s17_tikiman_go
1436,Battle Scene,boundary,1,1,Use Weapon,Use Weapon,s17_tikiman_go
1437,Weapon,entity,0,1,Use Weapon,Use Weapon,s17_tikiman_go
1438,User,actor,1,0,Use Weapon,Use Weapon,s17_tikiman_go
1439,Move Army Closer,control,1,1,Fight Army,Fight Battle,s17_tikiman_go
1440,Update Minimap,control,0,2,Fight Army,Fight Battle,s17_tikiman_go
1441,Calculate Score,control,1,1,Fight Army,Fight Battle,s17_tikiman_go
1442,Destroy armyMan,control,1,1,Fight Army,Fight Battle,s17_tikiman_go
1443,Minimap,boundary,1,1,Fight Army,Fight Battle,s17_tikiman_go
1444,Check if weapon hit the army,control,3,1,Fight Army,Fight Battle,s17_tikiman_go
1445,Achievements,entity,0,1,Fight Army,Fight Battle,s17_tikiman_go
1446,Battle,entity,0,1,Fight Army,Fight Battle,s17_tikiman_go
1447,Battle Scene,boundary,1,1,Fight Army,Fight Battle,s17_tikiman_go
1448,User,actor,2,0,Fight Army,Fight Battle,s17_tikiman_go
1449,Update the Database with all values,control,3,1,Update Database,Update Database,s17_tikiman_go
1450,Battle,entity,0,1,Update Database,Update Database,s17_tikiman_go
1451,User Master,entity,0,1,Update Database,Update Database,s17_tikiman_go
1452,Achivements,entity,0,1,Update Database,Update Database,s17_tikiman_go
1453,Map view,boundary,1,1,Update Database,Update Database,s17_tikiman_go
1454,User,actor,1,0,Update Database,Update Database,s17_tikiman_go
1455,Algortihm to scale,control,2,1,Algorithm,Algorithm,s17_tikiman_go
1456,Show Rank,boundary,0,2,Algorithm,Algorithm,s17_tikiman_go
1457,User,actor,1,0,Algorithm,Algorithm,s17_tikiman_go
1458,Score,entity,1,0,Algorithm,Algorithm,s17_tikiman_go
1459,Update Rank,control,0,1,Algorithm,Algorithm,s17_tikiman_go
1460,Battle,entity,0,1,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
1461,Battle Scene,boundary,3,1,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
1462,Increase Opponenent Weapons,control,0,2,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
1463,Increase Closing-in speed,control,1,2,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
1464,Increase Number of Army,control,4,1,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
1465,User Master,entity,0,1,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
1466,Achievements,entity,0,1,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
1467,User,actor,1,0,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
1468,Retrieve Score,entity,2,1,Get Score,Get Score,s17_tikiman_go
1469,USer Master,entity,0,1,Get Score,Get Score,s17_tikiman_go
1470,Battle,entity,0,1,Get Score,Get Score,s17_tikiman_go
1471,ScoreCards,boundary,1,1,Get Score,Get Score,s17_tikiman_go
1472,User,actor,1,0,Get Score,Get Score,s17_tikiman_go
1473,VR mode,boundary,1,1,Render Battle scene,Render Battle scene,s17_tikiman_go
1474,Ar Mode,boundary,1,1,Render Battle scene,Render Battle scene,s17_tikiman_go
1475,If not in Hawaii,control,0,2,Render Battle scene,Render Battle scene,s17_tikiman_go
1476,if in Hawaii,control,1,1,Render Battle scene,Render Battle scene,s17_tikiman_go
1477,Check Location,control,1,2,Render Battle scene,Render Battle scene,s17_tikiman_go
1478,Location,entity,1,0,Render Battle scene,Render Battle scene,s17_tikiman_go
1479,User,actor,2,0,Render Battle scene,Render Battle scene,s17_tikiman_go
1480,Get army information,control,1,1,Render Army,Render Army,s17_tikiman_go
1481,Army men ,boundary,2,0,Render Army,Render Army,s17_tikiman_go
1482,Enemy,entity,0,1,Render Army,Render Army,s17_tikiman_go
1483,User,actor,0,1,Render Army,Render Army,s17_tikiman_go
1484,Update Minimap,control,0,1,Render Minimap,Render Minimap,s17_tikiman_go
1485,Check if the enemy is hit with the balll,control,0,1,Render Minimap,Render Minimap,s17_tikiman_go
1486,Minimap ,boundary,2,1,Render Minimap,Render Minimap,s17_tikiman_go
1487,User,actor,1,0,Render Minimap,Render Minimap,s17_tikiman_go
1488,Single Weapon ,boundary,1,1,Use Weapon,Use Weapon,s17_tikiman_go
1489,Decrease inventory count,control,1,1,Use Weapon,Use Weapon,s17_tikiman_go
1490,Flick Weapon,control,2,1,Use Weapon,Use Weapon,s17_tikiman_go
1491,Check if weapon availble,control,1,1,Use Weapon,Use Weapon,s17_tikiman_go
1492,Weapons Inventory,entity,0,2,Use Weapon,Use Weapon,s17_tikiman_go
1493,User,actor,1,0,Use Weapon,Use Weapon,s17_tikiman_go
1494,Increase Number of spawn,control,0,2,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1495,Make Difficult to hit,control,1,1,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1496,Increase Speed,control,1,1,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1497,Time Elapsed,control,0,1,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1498,Get Number of tikimen killed in that round,control,0,1,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1499,Algorithm,control,5,1,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1500,Get level,control,1,1,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1501,User Account,entity,0,1,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1502,Army Men,boundary,2,2,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1503,User,actor,1,0,Increase difficulty ,Increase difficulty ,s17_tikiman_go
1504,Destroy Enemy,control,0,1,Update Screen,Update Screen,s17_tikiman_go
1505,Updated Army,boundary,0,2,Update Screen,Update Screen,s17_tikiman_go
1506,Check for the number of tikimen killed,control,3,0,Update Screen,Update Screen,s17_tikiman_go
1507,Updated Minimap,boundary,0,2,Update Screen,Update Screen,s17_tikiman_go
1508,User,actor,2,0,Update Screen,Update Screen,s17_tikiman_go
1509,Single weapon,boundary,1,1,Change Weapon,Change Weapon,s17_tikiman_go
1510,Choose a main weapon,control,0,2,Change Weapon,Change Weapon,s17_tikiman_go
1511,Display weapons,control,1,2,Change Weapon,Change Weapon,s17_tikiman_go
1512,Check if weapon availble,control,2,0,Change Weapon,Change Weapon,s17_tikiman_go
1513,User Account,entity,0,1,Change Weapon,Change Weapon,s17_tikiman_go
1514,Weapons Bar,boundary,1,1,Change Weapon,Change Weapon,s17_tikiman_go
1515,User,actor,2,0,Change Weapon,Change Weapon,s17_tikiman_go
1516,Update Database,control,1,1,Calculate score ,Calculate score ,s17_tikiman_go
1517,Calculate Score,control,1,2,Calculate score ,Calculate score ,s17_tikiman_go
1518,Display score at end of battle,boundary,1,1,Calculate score ,Calculate score ,s17_tikiman_go
1519,Count the number of enemies killed,control,1,0,Calculate score ,Calculate score ,s17_tikiman_go
1520,User Account,boundary,0,1,Calculate score ,Calculate score ,s17_tikiman_go
1521,User,actor,1,0,Calculate score ,Calculate score ,s17_tikiman_go
1522,VR scene library,entity,1,0,Navigate in VR Mode,Navigate in VR Mode,s17_tikiman_go
1523,Select battle location,control,2,2,Navigate in VR Mode,Navigate in VR Mode,s17_tikiman_go
1524,VR Map,boundary,1,1,Navigate in VR Mode,Navigate in VR Mode,s17_tikiman_go
1525,User,actor,1,0,Navigate in VR Mode,Navigate in VR Mode,s17_tikiman_go
1526,Upload video clips,control,1,1,Use Case Model,Recording video of bad driving event,s16_bad_driver
1527,Circular buffer,entity,2,1,Use Case Model,Recording video of bad driving event,s16_bad_driver
1528,Fetch two most  recent video clips,control,2,1,Use Case Model,Recording video of bad driving event,s16_bad_driver
1529,Stop Recording and store file,control,1,2,Use Case Model,Recording video of bad driving event,s16_bad_driver
1530,Recording video clips,control,2,3,Use Case Model,Recording video of bad driving event,s16_bad_driver
1531,Recording screen,boundary,1,1,Use Case Model,Recording video of bad driving event,s16_bad_driver
1532,Insurance Agent,actor,3,0,Use Case Model,Recording video of bad driving event,s16_bad_driver
1533,License lace # database associated with Bad Drivers,entity,1,0,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1534,Bad Driver Database,entity,0,1,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1535,Bad Dirver Report,entity,2,1,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1536,Display Report,control,1,1,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1537,Select Report,control,1,1,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1538,Query for report by license plate #,control,1,2,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1539,List of reports screen,boundary,1,2,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1540,Review Report,boundary,0,2,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1541,Enter License Plate# Screen,boundary,1,1,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1542,Insurance Agent,actor,3,0,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
1543,Post report,control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1544,describe vechle(license  # model/make etc),control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1545,describe incident (category security etc),control,2,0,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1546,Cancel report,control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1547,Capture Image,entity,0,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1548,get date time and location of incident from video metadata,control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1549,Display in non-editable fields,control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1550,Video,entity,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1551,Bad Dirver Report,entity,1,4,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1552,check if all details are filled?,control,2,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1553,Display error message from empty fields,control,1,2,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1554,Display video,control,1,2,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1555,Enter License Plate# Screen,boundary,6,3,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1556,Report Poster,actor,3,0,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
1557,Email client,boundary,0,1,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1558,Describe vehicle details,control,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1559,Display emergency alert web form,control,0,1,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1560,Bad driver reporting screen,boundary,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1561,Describe vehicle details,control,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1562,fill video metadata in non-editable fields,control,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1563,Cancel report,control,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1564,emergency alert,entity,1,4,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1565,Describe incident,control,2,1,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1566,Enter name and phone number,control,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1567,Video,entity,0,2,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1568,get time date location from video metadata,control,1,3,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1569,Upload the video,control,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1570,Record hazardous videos and Call 911,control,1,3,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1571,Enter License Plate# Screen,boundary,7,3,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1572,Report Poster,actor,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert,s16_bad_driver
1573,receive file at node.js,control,1,2,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB,s16_bad_driver
1574,receive response,control,3,0,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB,s16_bad_driver
1575,display failure message,control,0,3,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB,s16_bad_driver
1576,Video,entity,0,1,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB,s16_bad_driver
