d,path,useCase,transactional,tran_length,total_degree, TL, DETs, TD, arch_diff
141,stl#User:Event Screen->User:Event Screen,Navigation,EXTCLL,2,15,2,8,15,30
142,stl#User:Event Screen->User:Event Screen,Navigation,INT,2,15,2,7,15,30
143,stl#User:view photo->User:view photo,Navigation,CTRL,2,15,2,13,15,30
144,stl#User:view photo->User:view photo,Navigation,EXTCLL,2,15,2,10,15,30
145,stl#User:view photo->User:view photo,Navigation,INT,2,15,2,10,15,30
146,stl#User:Set Password Screen->User:Set Password Screen,Navigation,CTRL,2,15,2,20,15,30
147,stl#User:Set Password Screen->User:Set Password Screen,Navigation,EXTCLL,2,15,2,7,15,30
148,stl#User:Set Password Screen->User:Set Password Screen,Navigation,INT,2,15,2,10,15,30
149,stl#User:upload choice->User:upload choice,Navigation,CTRL,2,15,2,12,15,30
150,stl#User:upload choice->User:upload choice,Navigation,EXTCLL,2,15,2,8,15,30
151,stl#User:upload choice->User:upload choice,Navigation,INT,2,15,2,12,15,30
152,stl#User:upload choice->User:upload choice,Navigation,CTRL,2,15,2,4,15,30
153,stl#User:upload choice->User:upload choice,Navigation,EXTCLL,2,15,2,4,15,30
154,stl#User:upload choice->User:upload choice,Navigation,INT,2,15,2,6,15,30
155,stl#User:Delete expired events automatically->User:Delete expired events automatically,Navigation,CTRL,2,15,2,12,15,30
1,stl#User:Set Password Screen->User:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag,Reserve a Hashtag,TRAN_NA,6,3,6,18,3,18
2,stl#User:Set Password Screen->User:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,4,5,4,6,5,20
3,stl#User:Set Password Screen->User:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,4,5,4,10,5,20
4,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen,Reserve a Hashtag,TRAN_NA,7,2.5,7,7,2.5,17.5
5,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,6,3,6,6,3,18
6,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,6,3,6,9,3,18
7,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error,Reserve a Hashtag,TRAN_NA,7,2.5,7,7,2.5,17.5
8,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,7,2.5,7,10,2.5,17.5
9,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,7,2.5,7,13,2.5,17.5
10,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,4,5,4,10,5,20
11,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,4,5,4,7,5,20
12,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen,Reserve a Hashtag,TRAN_NA,7,2.5,7,17,2.5,17.5
13,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,6,3,6,10,3,18
14,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,6,3,6,12,3,18
15,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error,Reserve a Hashtag,TRAN_NA,7,2.5,7,7,2.5,17.5
16,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,7,2.5,7,8,2.5,17.5
17,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,7,2.5,7,17,2.5,17.5
18,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,4,5,4,4,5,20
19,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,4,5,4,7,5,20
20,stl#Actor:Set Password Screen->Actor:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag,Reserve a Hashtag,TRAN_NA,6,3,6,12,3,18
21,stl#Actor:Set Password Screen->Actor:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,4,5,4,-3,5,20
22,stl#Actor:Set Password Screen->Actor:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,4,5,4,11,5,20
1,stl#User:Range Buttons(Default myhome)->User:Range Buttons(Default myhome)->Range Buttons(Default myhome):Perform Select Range Search->Perform Select Range Search:Photo Database,Search by Location,TRAN_NA,4,5,4,11,5,20
2,stl#User:Range Buttons(Default myhome)->User:Range Buttons(Default myhome)->Range Buttons(Default myhome):Perform Select Range Search->Perform Select Range Search:List Mutator->List Mutator:Photo Search Result List,Search by Location,TRAN_NA,5,3.75,5,10,3.75,18.75
3,stl#User:Photo View->User:Photo View->Photo View:User Directed to View Photo Use Case,Search by Location,TRAN_NA,3,7.5,3,7,7.5,22.5
4,stl#User:Photo Search Result List View->User:Photo Search Result List View->Photo Search Result List View:List Mutator->List Mutator:Photo Search Result List,Search by Location,TRAN_NA,4,5,4,12,5,20
5,stl#User:Location Screen->User:Location Screen->Location Screen:Perform Default Search->Perform Default Search:Photo Database,Search by Location,TRAN_NA,4,5,4,12,5,20
6,stl#User:Location Screen->User:Location Screen->Location Screen:Perform Default Search->Perform Default Search:List Mutator->List Mutator:Photo Search Result List,Search by Location,TRAN_NA,5,3.75,5,17,3.75,18.75
7,stl#Actor:Photo View->Actor:Photo View->Photo View:User Directed to View Photo Use Case,Search by Location,TRAN_NA,3,7.5,3,10,7.5,22.5
8,stl#Actor:Photo Search Result List View->Actor:Photo Search Result List View->Photo Search Result List View:List Mutator->List Mutator:Photo Search Result List,Search by Location,TRAN_NA,4,5,4,15,5,20
9,stl#Actor:Location Screen->Actor:Location Screen->Location Screen:Perform Default Search->Perform Default Search:Photo Database,Search by Location,TRAN_NA,4,5,4,17,5,20
10,stl#Actor:Location Screen->Actor:Location Screen->Location Screen:Perform Default Search->Perform Default Search:List Mutator->List Mutator:Photo Search Result List,Search by Location,TRAN_NA,5,3.75,5,15,3.75,18.75
11,stl#Actor:Range Buttons(Default myhome)->Actor:Range Buttons(Default myhome)->Range Buttons(Default myhome):Perform Select Range Search->Perform Select Range Search:Photo Database,Search by Location,TRAN_NA,4,5,4,6,5,20
12,stl#Actor:Range Buttons(Default myhome)->Actor:Range Buttons(Default myhome)->Range Buttons(Default myhome):Perform Select Range Search->Perform Select Range Search:List Mutator->List Mutator:Photo Search Result List,Search by Location,TRAN_NA,5,3.75,5,10,3.75,18.75
1,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search,Search by event,TRAN_NA,10,1.666666667,10,7,1.666666667,16.66666667
2,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Pop up Server Error Message->Pop up Server Error Message:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,11,1.5,11,4,1.5,16.5
3,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Search Result Page,Search by event,TRAN_NA,7,2.5,7,15,2.5,17.5
4,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,12,1.363636364,12,7,1.363636364,16.36363636
5,stl#User:Show Empty Result Page->User:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,9,1.875,9,11,1.875,16.875
6,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Search API->Search API:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search,Search by event,TRAN_NA,8,2.142857143,8,5,2.142857143,17.14285714
7,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Search API->Search API:Pop up Server Error Message->Pop up Server Error Message:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,9,1.875,9,7,1.875,16.875
8,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API,Search by event,TRAN_NA,6,3,6,7,3,18
9,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,10,1.666666667,10,15,1.666666667,16.66666667
10,stl#User:Search Event Homepage->User:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,6,3,6,7,3,18
11,stl#Actor:Search Event Homepage->Actor:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,6,3,6,3,3,18
12,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search,Search by event,TRAN_NA,10,1.666666667,10,9,1.666666667,16.66666667
13,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Pop up Server Error Message->Pop up Server Error Message:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,11,1.5,11,18,1.5,16.5
14,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Search Result Page,Search by event,TRAN_NA,7,2.5,7,11,2.5,17.5
15,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,12,1.363636364,12,9,1.363636364,16.36363636
16,stl#Actor:Show Empty Result Page->Actor:Show Empty Result Page->Show Empty Result Page:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,9,1.875,9,17,1.875,16.875
17,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Search API->Search API:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search,Search by event,TRAN_NA,8,2.142857143,8,13,2.142857143,17.14285714
18,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Search API->Search API:Pop up Server Error Message->Pop up Server Error Message:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text,Search by event,TRAN_NA,9,1.875,9,13,1.875,16.875
19,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Search Result Page->Search Result Page:Search API,Search by event,TRAN_NA,6,3,6,13,3,18
20,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Search API->Search API:Event Collection->Event Collection:Pop up daabase Error Message->Pop up daabase Error Message:Perform Default Search->Perform Default Search:Search Event Homepage->Search Event Homepage:Valid Input Text->Valid Input Text:Perform Default Search->Perform Default Search:Search Event Homepage,Search by event,TRAN_NA,10,1.666666667,10,7,1.666666667,16.66666667
1,stl#User:upload choice->User:upload choice,Search event and upload photo,CTRL,2,15,2,6,15,30
2,stl#User:upload choice->User:upload choice,Search event and upload photo,EXTCLL,2,15,2,6,15,30
3,stl#User:upload choice->User:upload choice,Search event and upload photo,INT,2,15,2,4,15,30
4,stl#User:confirm->User:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:failed to upload->failed to upload:result,Search event and upload photo,TRAN_NA,6,3,6,10,3,18
5,stl#User:confirm->User:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:Upload finished->Upload finished:result,Search event and upload photo,TRAN_NA,6,3,6,11,3,18
6,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Select an event->Select an event:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:failed to upload->failed to upload:result,Search event and upload photo,TRAN_NA,8,2.142857143,8,2,2.142857143,17.14285714
7,stl#User:Search Result Page->User:Search Result Page->Search Result Page:Select an event->Select an event:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:Upload finished->Upload finished:result,Search event and upload photo,TRAN_NA,8,2.142857143,8,5,2.142857143,17.14285714
8,stl#User:Search Event->User:Search Event->Search Event:enter search item and search->enter search item and search:Search(back-end)->Search(back-end):Event Collection->Event Collection:prepare resullt->prepare resullt:Search Result Page->Search Result Page:Select an event->Select an event:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:failed to upload->failed to upload:result,Search event and upload photo,TRAN_NA,13,1.25,13,7,1.25,16.25
9,stl#User:Search Event->User:Search Event->Search Event:enter search item and search->enter search item and search:Search(back-end)->Search(back-end):Event Collection->Event Collection:prepare resullt->prepare resullt:Search Result Page->Search Result Page:Select an event->Select an event:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:Upload finished->Upload finished:result,Search event and upload photo,TRAN_NA,13,1.25,13,13,1.25,16.25
10,stl#Actor:Search Event->Actor:Search Event->Search Event:enter search item and search->enter search item and search:Search(back-end)->Search(back-end):Event Collection->Event Collection:prepare resullt->prepare resullt:Search Result Page->Search Result Page:Select an event->Select an event:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:failed to upload->failed to upload:result,Search event and upload photo,TRAN_NA,13,1.25,13,8,1.25,16.25
11,stl#Actor:Search Event->Actor:Search Event->Search Event:enter search item and search->enter search item and search:Search(back-end)->Search(back-end):Event Collection->Event Collection:prepare resullt->prepare resullt:Search Result Page->Search Result Page:Select an event->Select an event:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:Upload finished->Upload finished:result,Search event and upload photo,TRAN_NA,13,1.25,13,7,1.25,16.25
12,stl#Actor:confirm->Actor:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:failed to upload->failed to upload:result,Search event and upload photo,TRAN_NA,6,3,6,8,3,18
13,stl#Actor:confirm->Actor:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:Upload finished->Upload finished:result,Search event and upload photo,TRAN_NA,6,3,6,10,3,18
14,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Select an event->Select an event:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:failed to upload->failed to upload:result,Search event and upload photo,TRAN_NA,8,2.142857143,8,9,2.142857143,17.14285714
15,stl#Actor:Search Result Page->Actor:Search Result Page->Search Result Page:Select an event->Select an event:confirm->confirm:confirm upload->confirm upload:Photos in the event->Photos in the event:Upload finished->Upload finished:result,Search event and upload photo,TRAN_NA,8,2.142857143,8,7,2.142857143,17.14285714
16,stl#Actor:upload choice->Actor:upload choice,Search event and upload photo,CTRL,2,15,2,9,15,30
17,stl#Actor:upload choice->Actor:upload choice,Search event and upload photo,EXTCLL,2,15,2,9,15,30
18,stl#Actor:upload choice->Actor:upload choice,Search event and upload photo,INT,2,15,2,3,15,30
1,stl#User:Set Password Screen->User:Set Password Screen->Set Password Screen:Validates non-block password->Validates non-block password:Handle Password Error->Handle Password Error:Set Password Screen->Set Password Screen:Validates non-block password,Set a password,TRAN_NA,6,3,6,14,3,18
2,stl#Actor:Set Password Screen->Actor:Set Password Screen->Set Password Screen:Validates non-block password->Validates non-block password:Handle Password Error->Handle Password Error:Set Password Screen->Set Password Screen:Validates non-block password,Set a password,TRAN_NA,6,3,6,12,3,18
1,stl#User:view photo->User:view photo->view photo:prepare resullt->prepare resullt:camera->camera:can't access camera->can't access camera:my photo screen->my photo screen:prepare resullt->prepare resullt:camera,Take a photo,TRAN_NA,8,2.142857143,8,6,2.142857143,17.14285714
2,stl#User:view photo->User:view photo->view photo:prepare resullt->prepare resullt:camera->camera:take the photo successfully->take the photo successfully:view photo->view photo:prepare resullt,Take a photo,TRAN_NA,7,2.5,7,11,2.5,17.5
3,stl#User:view photo->User:view photo->view photo:prepare resullt->prepare resullt:camera->camera:take the photo successfully->take the photo successfully:view photo->view photo:Upload->Upload:upload choice,Take a photo,TRAN_NA,8,2.142857143,8,11,2.142857143,17.14285714
4,stl#User:view photo->User:view photo->view photo:Upload->Upload:upload choice,Take a photo,TRAN_NA,4,5,4,13,5,20
5,stl#User:upload choice->User:upload choice,Take a photo,CTRL,2,15,2,13,15,30
6,stl#User:upload choice->User:upload choice,Take a photo,EXTCLL,2,15,2,6,15,30
7,stl#User:upload choice->User:upload choice,Take a photo,INT,2,15,2,10,15,30
8,stl#User:my photo screen->User:my photo screen->my photo screen:prepare resullt->prepare resullt:camera->camera:can't access camera->can't access camera:my photo screen->my photo screen:prepare resullt,Take a photo,TRAN_NA,7,2.5,7,12,2.5,17.5
9,stl#User:my photo screen->User:my photo screen->my photo screen:prepare resullt->prepare resullt:camera->camera:take the photo successfully->take the photo successfully:view photo->view photo:prepare resullt->prepare resullt:camera,Take a photo,TRAN_NA,8,2.142857143,8,15,2.142857143,17.14285714
10,stl#User:my photo screen->User:my photo screen->my photo screen:prepare resullt->prepare resullt:camera->camera:take the photo successfully->take the photo successfully:view photo->view photo:Upload->Upload:upload choice,Take a photo,TRAN_NA,8,2.142857143,8,5,2.142857143,17.14285714
11,stl#Actor:view photo->Actor:view photo->view photo:prepare resullt->prepare resullt:camera->camera:can't access camera->can't access camera:my photo screen->my photo screen:prepare resullt->prepare resullt:camera,Take a photo,TRAN_NA,8,2.142857143,8,11,2.142857143,17.14285714
12,stl#Actor:view photo->Actor:view photo->view photo:prepare resullt->prepare resullt:camera->camera:take the photo successfully->take the photo successfully:view photo->view photo:prepare resullt,Take a photo,TRAN_NA,7,2.5,7,14,2.5,17.5
13,stl#Actor:view photo->Actor:view photo->view photo:prepare resullt->prepare resullt:camera->camera:take the photo successfully->take the photo successfully:view photo->view photo:Upload->Upload:upload choice,Take a photo,TRAN_NA,8,2.142857143,8,8,2.142857143,17.14285714
14,stl#Actor:view photo->Actor:view photo->view photo:Upload->Upload:upload choice,Take a photo,TRAN_NA,4,5,4,8,5,20
15,stl#Actor:upload choice->Actor:upload choice,Take a photo,CTRL,2,15,2,4,15,30
16,stl#Actor:upload choice->Actor:upload choice,Take a photo,EXTCLL,2,15,2,17,15,30
17,stl#Actor:upload choice->Actor:upload choice,Take a photo,INT,2,15,2,5,15,30
18,stl#Actor:my photo screen->Actor:my photo screen->my photo screen:prepare resullt->prepare resullt:camera->camera:can't access camera->can't access camera:my photo screen->my photo screen:prepare resullt,Take a photo,TRAN_NA,7,2.5,7,11,2.5,17.5
19,stl#Actor:my photo screen->Actor:my photo screen->my photo screen:prepare resullt->prepare resullt:camera->camera:take the photo successfully->take the photo successfully:view photo->view photo:prepare resullt->prepare resullt:camera,Take a photo,TRAN_NA,8,2.142857143,8,8,2.142857143,17.14285714
20,stl#Actor:my photo screen->Actor:my photo screen->my photo screen:prepare resullt->prepare resullt:camera->camera:take the photo successfully->take the photo successfully:view photo->view photo:Upload->Upload:upload choice,Take a photo,TRAN_NA,8,2.142857143,8,12,2.142857143,17.14285714
1,stl#User:upload choice->User:upload choice,Take photo for location,CTRL,2,15,2,10,15,30
2,stl#User:upload choice->User:upload choice,Take photo for location,EXTCLL,2,15,2,23,15,30
3,stl#User:upload choice->User:upload choice,Take photo for location,INT,2,15,2,-1,15,30
4,stl#User:upload choice->User:upload choice->upload choice:upload to current location->upload to current location:camera->camera:get location successfully->get location successfully:current location->current location:upload->upload:my upload->my upload:failed to upload->failed to upload:upload choice,Take photo for location,TRAN_NA,10,1.666666667,10,7,1.666666667,16.66666667
5,stl#User:upload choice->User:upload choice->upload choice:upload to current location->upload to current location:camera->camera:get location successfully->get location successfully:current location->current location:upload->upload:my upload->my upload:Upload finished->Upload finished:upload choice,Take photo for location,TRAN_NA,10,1.666666667,10,13,1.666666667,16.66666667
6,stl#User:upload choice->User:upload choice->upload choice:upload to current location->upload to current location:camera->camera:failed to get current location->failed to get current location:upload choice->upload choice:upload to current location,Take photo for location,TRAN_NA,7,2.5,7,5,2.5,17.5
7,stl#User:current location->User:current location->current location:upload->upload:my upload->my upload:failed to upload->failed to upload:upload choice,Take photo for location,TRAN_NA,6,3,6,14,3,18
8,stl#User:current location->User:current location->current location:upload->upload:my upload->my upload:Upload finished->Upload finished:upload choice,Take photo for location,TRAN_NA,6,3,6,12,3,18
9,stl#Actor:upload choice->Actor:upload choice->upload choice:upload to current location->upload to current location:camera->camera:get location successfully->get location successfully:current location->current location:upload->upload:my upload->my upload:failed to upload->failed to upload:upload choice,Take photo for location,TRAN_NA,10,1.666666667,10,5,1.666666667,16.66666667
10,stl#Actor:upload choice->Actor:upload choice->upload choice:upload to current location->upload to current location:camera->camera:get location successfully->get location successfully:current location->current location:upload->upload:my upload->my upload:Upload finished->Upload finished:upload choice,Take photo for location,TRAN_NA,10,1.666666667,10,9,1.666666667,16.66666667
11,stl#Actor:upload choice->Actor:upload choice->upload choice:upload to current location->upload to current location:camera->camera:failed to get current location->failed to get current location:upload choice->upload choice:upload to current location,Take photo for location,TRAN_NA,7,2.5,7,12,2.5,17.5
12,stl#Actor:upload choice->Actor:upload choice,Take photo for location,CTRL,2,15,2,9,15,30
13,stl#Actor:upload choice->Actor:upload choice,Take photo for location,EXTCLL,2,15,2,14,15,30
14,stl#Actor:upload choice->Actor:upload choice,Take photo for location,INT,2,15,2,8,15,30
15,stl#Actor:current location->Actor:current location->current location:upload->upload:my upload->my upload:failed to upload->failed to upload:upload choice,Take photo for location,TRAN_NA,6,3,6,0,3,18
16,stl#Actor:current location->Actor:current location->current location:upload->upload:my upload->my upload:Upload finished->Upload finished:upload choice,Take photo for location,TRAN_NA,6,3,6,8,3,18
1,stl#User:upload choice->User:upload choice->upload choice:upload to my event->upload to my event:my event->my event:display my events->display my events:my events->my events:select an event->select an event:confirm->confirm:confirm upload->confirm upload:photos in the event->photos in the event:failed to upload->failed to upload:result,Upload photo to my event,TRAN_NA,12,1.363636364,12,8,1.363636364,16.36363636
2,stl#User:upload choice->User:upload choice->upload choice:upload to my event->upload to my event:my event->my event:display my events->display my events:camera->camera:upload finished->upload finished:result,Upload photo to my event,TRAN_NA,8,2.142857143,8,7,2.142857143,17.14285714
3,stl#User:upload choice->User:upload choice->upload choice:upload to my event->upload to my event:my event->my event:display my events->display my events:camera->camera:upload finished->upload finished:photos in the event->photos in the event:failed to upload->failed to upload:result,Upload photo to my event,TRAN_NA,10,1.666666667,10,7,1.666666667,16.66666667
4,stl#User:upload choice->User:upload choice->upload choice:upload to my event->upload to my event:my event->my event:can't access server->can't access server:upload choice->upload choice:upload to my event,Upload photo to my event,TRAN_NA,7,2.5,7,5,2.5,17.5
5,stl#User:result->User:result,Upload photo to my event,CTRL,2,15,2,6,15,30
6,stl#User:result->User:result,Upload photo to my event,EXTCLL,2,15,2,12,15,30
7,stl#User:result->User:result,Upload photo to my event,INT,2,15,2,11,15,30
8,stl#User:my events->User:my events->my events:select an event->select an event:confirm->confirm:confirm upload->confirm upload:photos in the event->photos in the event:failed to upload->failed to upload:result,Upload photo to my event,TRAN_NA,8,2.142857143,8,6,2.142857143,17.14285714
9,stl#User:confirm->User:confirm->confirm:confirm upload->confirm upload:photos in the event->photos in the event:failed to upload->failed to upload:result,Upload photo to my event,TRAN_NA,6,3,6,3,3,18
10,stl#Actor:confirm->Actor:confirm->confirm:confirm upload->confirm upload:photos in the event->photos in the event:failed to upload->failed to upload:result,Upload photo to my event,TRAN_NA,6,3,6,6,3,18
