id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
108,User:sorts/filters the applicants -->sorts/filters the applicants :returns all of the applicants who have applied to the position -->returns all of the applicants who have applied to the position :returns the applicants that match the sort/filter-->returns the applicants that match the sort/filter:Homepage,View Applications,4,1,3,0,0
109,User:Homepage,View Applications,1,1,0,0,0
110,User:Homepage,View Job Postings,1,1,0,0,0
111,User:selects the appropriate postings -->selects the appropriate postings :returns information about that specific posting-->returns information about that specific posting:Homepage,View Job Postings,3,2,1,0,0
112,User:selects the appropriate postings -->selects the appropriate postings :returns information about that specific posting-->returns information about that specific posting:Show confirmation page-->Show confirmation page:Homepage,View Job Postings,4,2,2,0,0
113,User:selects the appropriate postings -->selects the appropriate postings :returns information about that specific posting-->returns information about that specific posting:Show confirmation page-->Show confirmation page:selects the appropriate postings -->selects the appropriate postings :returns information about that specific posting,View Job Postings,5,2,3,0,0
114,User:clicks "Edit User Profile" button-->clicks "Edit User Profile" button:returns the User Profile for the User -->returns the User Profile for the User :Homepage,View User Profile,3,2,1,0,0
115,User:clicks "Edit User Profile" button-->clicks "Edit User Profile" button:returns the User Profile for the User -->returns the User Profile for the User :Show confirmation page-->Show confirmation page:Homepage,View User Profile,4,2,2,0,0
116,User:clicks "Edit User Profile" button-->clicks "Edit User Profile" button:returns the User Profile for the User -->returns the User Profile for the User :Show confirmation page-->Show confirmation page:clicks "Edit User Profile" button-->clicks "Edit User Profile" button:returns the User Profile for the User ,View User Profile,5,2,3,0,0
117,User:Homepage,View User Profile,1,1,0,0,0
