2019-02-22 14:02:43,368 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963368","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"}}
2019-02-22 14:02:43,369 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963369","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"},"params":[]}
2019-02-22 14:02:43,369 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963369","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","index":"1","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"}}
2019-02-22 14:02:43,370 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963370","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"},"params":[]}
2019-02-22 14:02:43,370 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963370","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"}}
2019-02-22 14:02:43,371 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963370","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"},"params":[]}
2019-02-22 14:02:43,372 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963371","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","index":"1","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"}}
2019-02-22 14:02:43,373 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963372","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"},"params":[]}
2019-02-22 14:02:43,373 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963373","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"}}
2019-02-22 14:02:43,374 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963374","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"},"params":[]}
2019-02-22 14:02:43,375 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963374","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"}}
2019-02-22 14:02:43,375 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963375","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"},"params":[]}
2019-02-22 14:02:43,375 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963375","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"}}
2019-02-22 14:02:43,376 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963376","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"},"params":[]}
2019-02-22 14:02:43,376 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963376","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","index":"1","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"}}
2019-02-22 14:02:43,377 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963376","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"},"params":[]}
2019-02-22 14:02:43,377 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963377","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"}}
